iter	Logloss
0	0.671876709
1	0.656978125
2	0.6467387695
3	0.6337459961
4	0.6243980469
5	0.6130072754
6	0.6032478027
7	0.5950830078
8	0.5877706055
9	0.5815917969
10	0.5748157227
11	0.5689479492
12	0.5634540039
13	0.5583980469
14	0.5524783203
15	0.5488907715
16	0.5455942871
17	0.5412018066
18	0.5379920898
19	0.5327505859
20	0.5281746094
21	0.5247123047
22	0.5215914551
23	0.5161852051
24	0.5117282227
25	0.5069641602
26	0.5033869141
27	0.4999541992
28	0.4957057617
29	0.4939624512
30	0.4887120117
31	0.4847364746
32	0.4820354492
33	0.4796043945
34	0.4766662109
35	0.4737702148
36	0.4702383301
37	0.4689626953
38	0.4658964355
39	0.4617277344
40	0.4593689453
41	0.4571233887
42	0.454626123
43	0.4521197266
44	0.4491595215
45	0.4461232422
46	0.4439529297
47	0.4408869141
48	0.4380721191
49	0.4358374512
50	0.4336580566
51	0.4312870117
52	0.4289804688
53	0.4268577148
54	0.4252304687
55	0.4236121582
56	0.4215272461
57	0.4194666992
58	0.4178676758
59	0.4164895508
60	0.4145195313
61	0.4135820801
62	0.4118211914
63	0.4087352051
64	0.4068503906
65	0.4052491699
66	0.4032635254
67	0.4013402344
68	0.3997416992
69	0.3975926758
70	0.3950645996
71	0.3933665039
72	0.3908750244
73	0.3886313965
74	0.3866814209
75	0.3848371094
76	0.3829331055
77	0.380365918
78	0.3780510254
79	0.3762787598
80	0.3739944336
81	0.3714337158
82	0.3693057373
83	0.3669783447
84	0.3644217285
85	0.3626553955
86	0.3593072754
87	0.3570149414
88	0.3548821533
89	0.3525175781
90	0.3505410645
91	0.3482010254
92	0.3460273926
93	0.3440317383
94	0.3413588135
95	0.3386679687
96	0.3362354492
97	0.3339445313
98	0.331473584
99	0.3287612793
100	0.3267585449
101	0.3249234863
102	0.3229696289
103	0.3208258057
104	0.3191723145
105	0.3172370361
106	0.3154362061
107	0.3131095703
108	0.3108636963
109	0.3092266113
110	0.3074008789
111	0.305761084
112	0.3034635254
113	0.3015486816
114	0.2996616699
115	0.2980235596
116	0.2961072021
117	0.2944394531
118	0.2928853516
119	0.2910475342
120	0.2893996094
121	0.2877277832
122	0.287106958
123	0.2853197266
124	0.2846885986
125	0.2830237793
126	0.2810265869
127	0.27922146
128	0.2775667725
129	0.2758580322
130	0.2746755371
131	0.2732703369
132	0.2719002441
133	0.2715590332
134	0.2699252441
135	0.2693489258
136	0.2680881348
137	0.2663867187
138	0.2654567383
139	0.2636972412
140	0.2620913086
141	0.2605082031
142	0.2601864014
143	0.2585614014
144	0.2582672363
145	0.2571279785
146	0.2558024902
147	0.2541887451
148	0.2529200439
149	0.2516606201
150	0.2511709473
151	0.2497137207
152	0.2493005127
153	0.2476503662
154	0.2459527832
155	0.244282666
156	0.2431868164
157	0.2418745117
158	0.2404221191
159	0.2388628418
160	0.2382984375
161	0.2367486084
162	0.236127832
163	0.2343956299
164	0.2333013428
165	0.2317706543
166	0.231535498
167	0.229755542
168	0.228739624
169	0.228216333
170	0.226973584
171	0.2254797852
172	0.2244164063
173	0.223379541
174	0.2227865479
175	0.2220323975
176	0.2217035645
177	0.2203315674
178	0.2188697021
179	0.2183599121
180	0.216855542
181	0.216459668
182	0.2154508789
183	0.2142551758
184	0.2130847412
185	0.2126275879
186	0.2113658203
187	0.2104644531
188	0.2091606445
189	0.2086596924
190	0.2074427979
191	0.2071640625
192	0.2062481201
193	0.2051648682
194	0.204331189
195	0.2033882324
196	0.2028290283
197	0.2025214844
198	0.2015394043
199	0.2005644043
