iter	Passed	Remaining
0	235	46786
1	332	32945
2	420	27606
3	501	24567
4	579	22599
5	682	22060
6	762	21023
7	838	20127
8	925	19640
9	1011	19209
10	1098	18866
11	1177	18450
12	1269	18263
13	1359	18063
14	1435	17699
15	1512	17399
16	1602	17250
17	1679	16986
18	1759	16760
19	1851	16663
20	1925	16413
21	2009	16258
22	2099	16154
23	2188	16049
24	2277	15943
25	2354	15754
26	2432	15583
27	2508	15408
28	2600	15332
29	2681	15196
30	2768	15090
31	2847	14947
32	2940	14881
33	3031	14800
34	3122	14718
35	3215	14649
36	3318	14619
37	3401	14500
38	3488	14402
39	3579	14319
40	3659	14190
41	3747	14098
42	3824	13964
43	3898	13821
44	3979	13705
45	4086	13679
46	4173	13585
47	4260	13491
48	4359	13434
49	4436	13308
50	4515	13192
51	4603	13102
52	4679	12977
53	4754	12855
54	4834	12745
55	4926	12668
56	5028	12615
57	5120	12536
58	5195	12416
59	5286	12336
60	5371	12239
61	5459	12150
62	5549	12067
63	5627	11958
64	5729	11900
65	5808	11793
66	5886	11684
67	5963	11575
68	6039	11466
69	6118	11363
70	6206	11276
71	6285	11174
72	6360	11066
73	6470	11016
74	6561	10935
75	6651	10852
76	6727	10746
77	6803	10640
78	6881	10539
79	6964	10446
80	7051	10359
81	7130	10261
82	7234	10197
83	7310	10094
84	7391	10000
85	7497	9938
86	7577	9842
87	7672	9764
88	7756	9674
89	7834	9575
90	7912	9478
91	7988	9377
92	8063	9277
93	8142	9182
94	8225	9090
95	8310	9002
96	8389	8908
97	8467	8813
98	8542	8715
99	8620	8620
100	8701	8529
101	8808	8462
102	8883	8365
103	8959	8270
104	9035	8175
105	9115	8083
106	9204	8000
107	9282	7907
108	9357	7812
109	9433	7718
110	9515	7629
111	9620	7559
112	9708	7474
113	9799	7392
114	9886	7307
115	9984	7230
116	10075	7147
117	10152	7055
118	10229	6962
119	10303	6869
120	10383	6779
121	10459	6687
122	10550	6605
123	10629	6514
124	10703	6422
125	10781	6332
126	10860	6242
127	10942	6154
128	11033	6072
129	11120	5988
130	11196	5897
131	11273	5807
132	11348	5716
133	11423	5626
134	11498	5536
135	11590	5454
136	11668	5365
137	11741	5275
138	11821	5187
139	11897	5099
140	11974	5010
141	12060	4926
142	12184	4856
143	12262	4768
144	12341	4681
145	12419	4593
146	12495	4505
147	12571	4417
148	12665	4335
149	12741	4247
150	12822	4161
151	12926	4082
152	13003	3994
153	13096	3912
154	13177	3825
155	13282	3746
156	13370	3661
157	13448	3575
158	13524	3487
159	13602	3400
160	13676	3313
161	13751	3225
162	13830	3139
163	13923	3056
164	14014	2972
165	14090	2886
166	14169	2799
167	14247	2713
168	14345	2631
169	14432	2546
170	14510	2460
171	14613	2378
172	14692	2293
173	14785	2209
174	14861	2123
175	14935	2036
176	15012	1950
177	15093	1865
178	15183	1781
179	15288	1698
180	15367	1613
181	15449	1527
182	15535	1443
183	15613	1357
184	15690	1272
185	15765	1186
186	15843	1101
187	15936	1017
188	16028	932
189	16105	847
190	16208	763
191	16287	678
192	16362	593
193	16442	508
194	16535	423
195	16628	339
196	16727	254
197	16803	169
198	16881	84
199	16956	0
